"APN","PROJECT NUMBER","NAME","ADDRESS","SITE_#","COMMUNITY","COUNCIL DISTRICT","DEVELOPMENT STAGE","CONSTRUCTION TYPE","HOUSING TYPE","HCIDLA FUNDED","LEVERAGE","TAX EXEMPT CONDUIT BOND","TDC","PHOTO","JOBS","DEVELOPER","MANAGEMENT COMPANY","CONTACT PHONE"
"5141025005","13-119320","THE SIX (FORMERLY CARONDELET APARTMENTS)","811 S CARONDELET ST CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","SPECIAL NEEDS","4,277,100.00","11,875,978.00","0.00","16,153,078.00","http://hcidapp.lacity.org/mpphotos/13-119320/Photo/Website/The-Six-dusk-495x400.png","158","Skid Row Housing Trust","SRHT PROPERTY MANAGEMENT COMPANY","(213) 683-0522 x127"
"5124024009","15-122656","ST. JAMES PARK","839 W ADAMS BLVD 1-18 CA 90007","1","UNIVERSITY PARK","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","FAMILY","0.00","27,481,703.00","9,879,228.00","37,360,931.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"Retirement Housing Foundation","FOUNDATION PROPERTY MANAGEMENT, INC.","(213) 746-9548"
"5135004006","70172","TWO WORLD APARTMENTS (SITE 3)","1306 S WESTLAKE AVE CA 90006","3","PICO-UNION","1","READY FOR OCCUPANCY","REHAB","SENIORS","3,225,000.00","17,094,146.00","0.00","20,319,146.00","http://hcidapp.lacity.org/mpphotos/070172/Photo/Website%20Site3/Two%20Worlds%201306%20S.%20Westlake%20-%20070172.png","99","TWO WORLDS PRESERVATION LIMITED PARTNERSHIP,","N/A","N/A"
"5143013022","15-122534","7TH & WITMER APARTMENTS","1301 W 7TH ST CA 90017","1","WESTLAKE","1","UNDERCONSTRUCTION","NEW CONSTRUCTION","SPECIAL NEEDS","1,500,000.00","0.00","0.00","1,500,000.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png","270","Deep Green Housing and Community Development","SOLARI ENTERPRISES, INC.","(714) 282-2520"
"5075006018","40067","ROYALS APARTMENTS (SITE 3)","1327 S CATALINA ST CA 90006","3","HARVARD HEIGHTS","1","READY FOR OCCUPANCY","REHAB","FAMILY","1,100,000.00","13,039,479.00","0.00","14,139,479.00","http://hcidapp.lacity.org/mpphotos/040067/Photo/Website%20Site3/royalscatalina1327catalina315072of6(PNG).png","49","Preservation Partners Management Group, Inc.","PRESERVATION PARTNERS MANAGEMENT GROUP","(310) 802-6673"
"5155031031","16-123325","NEW PARK PLACE (RECAP)","2500 W 4TH ST CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","FAMILY","0.00","4,638,956.00","1,070,000.00","5,708,956.00","http://hcidapp.lacity.org/mpphotos/16-123325/Photo/Website/2500%20W%204th%20St.png",,"Abode Communities","ABODE COMMUNITIES","(213) 225-2708"
"5137032023","09-117198","MOSAIC APARTMENTS","1521 W PICO BLVD 1-56 CA 90015","1","PICO-UNION","1","READY FOR OCCUPANCY","N/A","N/A","746,480.00","20,733,937.00","0.00","21,480,417.00","http://hcidapp.lacity.org/mpphotos/09-117198/Photo/Website/mosaic%20cropped.png","149","Foundation For Affordable Housing, Inc","FPI MANAGEMENT","(714) 641-5110"
"5056012007","80053","PROFESSIONAL HSG. & DEV. APTS. (PH & D) (SITE 5)","1810 S MAGNOLIA AVE CA 90006","5","PICO-UNION","1","READY FOR OCCUPANCY","REHAB","FAMILY","4,575,000.00","10,250,907.00","0.00","14,825,907.00","http://hcidapp.lacity.org/mpphotos/080053/Photo/Website%20Site5/PH&D%201810%20Magnolia.jpg","45","Gubb and Barshay","LITTLE TOKYO SERVICE CENTER","(213) 434-1645"
"5141013029","70034","SEVEN MAPLES","2618 W 7TH ST CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","SENIORS","4,124,520.00","14,506,378.00","0.00","18,630,898.00","http://hcidapp.lacity.org/mpphotos/070034/Photo/Website/CD%201%20-%20Seven%20Maples.jpg","144","LOS ANGELES HOUSING PARTNERSHIP INC.,","THE JOHN STEWART COMPANY","(213) 787-2700"
"5205012007","60021","CAMINO AL ORO","330 W AVENUE 26 CA 90031","1","LINCOLN HEIGHTS","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","SENIORS","681,735.00","13,128,422.00","0.00","13,810,157.00","http://hcidapp.lacity.org/mpphotos/060021/Photo/Website/CD%201%20-%20Camino%20Al%20Oro.jpg","96","CAMINO AL ORO FUND, L.P.","FPI MANAGEMENT","(714) 641-5110"
"5135005008","06-117195","CONCORD APARTMENTS (GRP. A & B) (SITE 9)","1350 S BONNIE BRAE ST CA 90006","9","PICO-UNION","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","7,334,438.00","8,579,256.00","15,913,694.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.","(323) 231-4174"
"5077023015","11-117793","CAROLINE SEVERANCE MANOR","2914 - 2924 W 8TH ST  Los Angeles, CA 90005","1","WILSHIRE CENTER","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","SPECIAL NEEDS","891,000.00","31,386,403.00","0.00","32,277,403.00","http://hcidapp.lacity.org/mpphotos/11-117793/Photo/Website/severancemanor4814_007.png","292","MERCY HOUSING CALIFORNIA 56","MERCY HOUSING MANAGEMENT GROUP (MHM)","(213) 863-0250"
"5142015004","80011","YOUNG BURLINGTON APARTMENTS","820 S BURLINGTON AVE 1-21 CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","SPECIAL NEEDS","1,845,000.00","9,161,655.00","0.00","11,006,655.00","http://hcidapp.lacity.org/mpphotos/080011/Photo/Website/080011.png","89","W.O.R.K.S.,","SOLARI ENTERPRISES, INC.","(714) 282-2520 x201"
"5405021065","30166","FIGUEROA PLACE","1320 W SUNSET BLVD 1-33 CA 90026","1","ANGELINO HEIGHTS","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","1,647,000.00","8,292,373.00","0.00","9,939,373.00","http://hcidapp.lacity.org/mpphotos/030166/Photo/Website/CD%201%20-%20Figueroa%20Place%20-%20030166.jpg","63","FIGUEROA PLACE, LP","MONROE GROUP LTD., PROFESSIONAL PROPERTY MANAGEMENT","N/A"
"5153023019","07-117237","QUEEN APARTMENTS (SITE 4)","451 S LUCAS AVE CA 90017","4","WESTLAKE","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","10,271,751.00","7,300,000.00","17,571,751.00","http://hcidapp.lacity.org/mpphotos/07-117237/Photo/Website%20Site4/Queens%20Apt%20(site4)%20457%20Lucas.png",,"N/A","THE JOHN STEWART COMPANY","(213) 833-1860"
"5078026028","11-118571","LA PRO II (SITE 2)","1100 S BERENDO ST CA 90006","2","KOREATOWN","1","READY FOR OCCUPANCY","N/A","N/A","2,000,000.00","31,674,331.00","0.00","33,674,331.00","http://hcidapp.lacity.org/mpphotos/11-118571/Photo/Website%20Site2/la%20pro%20ii%2011-118571d.JPG","208","LA Pro II Preservation Limited Partnership","PRESERVATION PARTNERS MANAGEMENT GROUP","(310) 802-6671"
"5142018010","15-121798","LEASTER APARTMENTS","825 S GREEN AVE CA 90017","1","WESTLAKE","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","FAMILY","0.00","14,979,000.00","9,162,000.00","24,141,000.00","http://hcidapp.lacity.org/mpphotos/15-121798/Photo/Website/Project.png",,"Pico Union Housing Corporation","GENESSY MANAGEMENT AND DEVELOPMENT, LLC","(323) 913-2905"
"5124013020","16-123327","DUDLEY OAKS","2119 S OAK ST CA 90007","1","UNIVERSITY PARK","1","UNDERCONSTRUCTION","ACQUISITION + REHAB","AT-RISK","0.00","6,351,176.00","4,912,200.00","11,263,376.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"Thomas Safran & Associates Development, Inc","THOMAS SAFRAN AND ASSOCIATES, INC.","(310) 820-4888"
"5152007049","40008","EMERALD TERRACE APTS.","1345 W EMERALD DR  Los Angeles, CA 90026","1","TEMPLE-BEAUDRY","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","LARGE FAMILY / WAIVER REQUIRED","4,287,128.00","19,724,861.00","0.00","24,011,989.00","http://hcidapp.lacity.org/mpphotos/040008/Photo/Website/CD%201%20-%20Emeral%20Terrace%20-%20040008.jpg","145","META HOUSING CORPORATION,","SOLARI ENTERPRISES, INC.","(714) 282-2520"
"5135016017","05-117193","LEEWARD APTS. (SITE 3)","1134 W 17TH ST 1-28 CA 90015","3","PICO-UNION","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","7,103,994.00","10,208,936.00","17,312,930.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"HAMPSTEAD PARTNERS, INC.","ALPHA PROPERTY MANAGEMENT, INC.","(323) 231-4174"
"5142014043","16-123081","CRESCENT VILLAGES (RECAP)","1721 W 8TH ST CA 90017","1","WESTLAKE","1","UNDERCONSTRUCTION","ACQUISITION + REHAB","FAMILY","535,608.00","15,855,122.00","10,144,000.00","26,534,730.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"Valued Housing II, LLC","N/A","N/A"
"5141010004","20273","TIDES SENIORS APARTMENTS","623 S RAMPART BLVD CA 90057","1","WESTLAKE","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","SENIORS","621,614.00","4,867,990.00","0.00","5,489,604.00","http://hcidapp.lacity.org/mpphotos/020273/Photo/Website/CD%201%20-%20Tides,%20The.JPG","5","LOS ANGELES HOUSING PARTNERSHIP,","FPI MANAGEMENT","(714) 641-5110"
"5205013009","40051","FLORES DEL VALLE","222 N AVENUE 23  LOS ANGELES, CA 90031","1","LINCOLN HEIGHTS","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","4,800,000.00","25,074,282.00","0.00","29,874,282.00","http://hcidapp.lacity.org/mpphotos/040051/Photo/Website/CD%201%20-%20James%20Woods%20Apts.jpg","147","AMCAL FLORES DEL VALLE FUND, L.P.","FPI MANAGEMENT, INC","(323) 235-5506"
"5124024009","15-122656","ST. JAMES PARK (SITE 4)","825 W ADAMS BLVD CA 90007","4","UNIVERSITY PARK","1","READY FOR OCCUPANCY","ACQUISITION + REHAB","FAMILY","0.00","27,481,703.00","9,879,228.00","37,360,931.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"Retirement Housing Foundation","FOUNDATION PROPERTY MANAGEMENT, INC.","(213) 746-9548"
"5137007027","40001","JAMES WOOD APARTMENTS","1328 W JAMES M. WOOD BLVD 1-18 CA 90015","1","PICO-UNION","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","3,233,454.00","14,858,587.00","2,100,000.00","20,192,041.00","http://hcidapp.lacity.org/mpphotos/040001/Photo/Website/James%20Woods%20(1).jpg","61","DECRO CORPORATION,","JOHN STERN","(213) 749-0214 x203"
"5153005027","06-117195","CONCORD APARTMENTS (GRP. A & B) (SITE 2)","522 S UNION AVE CA 90017","2","WESTLAKE","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","7,334,438.00","8,579,256.00","15,913,694.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.","(323) 231-4174"
"5124015902","14-121653","NORWOOD LEARNING VILLAGE","2009 S OAK ST CA 90007","1","UNIVERSITY PARK","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","2,179,360.00","17,377,723.00","0.00","19,557,083.00","http://hcidapp.lacity.org/mpphotos/14-121653/Photo/Website/Norwood%20Learning%20Center.jpg","100","Thomas Safran & Associates Development, Inc","THOMAS SAFRAN & ASSOCIATES INC","(310) 820-4888"
"5137034009","06-117195","CONCORD APARTMENTS (GRP. A & B) (SITE 7)","1682 W 12TH PL CA 90015","7","PICO-UNION","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","7,334,438.00","8,579,256.00","15,913,694.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png",,"1755 EFM 2, LLC","ALPHA PROPERTY MANAGEMENT, INC.","(323) 231-4174"
"5211007054","60060","MANITOU VISTAS I","3422 E MANITOU AVE CA 90031","1","LINCOLN HEIGHTS","1","READY FOR OCCUPANCY","N/A","N/A","2,749,622.00","20,163,903.00","0.00","22,913,525.00","http://hcidapp.lacity.org/mpphotos/060060/Photo/Website/CD%201%20-%20Manitou%20Vistas.jpg","174","ADVANCED DEVELOPMENT & INVESTMENT,","WESTLAKE HOUSING, LP","(512) 782-4898"
"5152007027","50029","CORONITA FAMILY","204 S LUCAS AVE 1-21 CA 90026","1","TEMPLE-BEAUDRY","1","READY FOR OCCUPANCY","ACQUISITION + NEW CONSTRUCTION","FAMILY","2,269,560.00","5,680,952.00","0.00","7,950,512.00","http://hcidapp.lacity.org/mpphotos/050029/Photo/Website/coronita204lucas3of511308(PNG).png","47","META HOUSING CORPORATION,","SOLARI ENTERPRISES, INC.","(714) 282-2520"
"5076018023","15-122540","WESTMORE LINDEN SENIORS (PHASE 1)","1250 S WESTMORELAND AVE CA 90006","1","PICO-UNION","1","UNDERCONSTRUCTION","NEW CONSTRUCTION","SENIORS","0.00","0.00","0.00","0.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png","229","West Hollywood Community Housing Corporation","N/A","N/A"
"5205012008","60022","TESORO DEL VALLE","2301 N HUMBOLDT ST CA 90031","1","LINCOLN HEIGHTS","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","936,022.00","20,075,651.00","0.00","21,011,673.00","http://hcidapp.lacity.org/mpphotos/060022/Photo/Website/CD%201%20-%20Tesoro%20Del%20Valle%20-%20060022.jpg","121","AMCAL Multi-Housing, Inc.","FPI MANAGEMENT","(714) 641-5110"
"5137032023","09-117198","MOSAIC APARTMENTS","1526 W 12TH PL CA 90015","1","PICO-UNION","1","READY FOR OCCUPANCY","N/A","N/A","0.00","0.00","0.00","0.00","http://hcidapp.lacity.org/mpphotos/ImageNotAvailable.png","149","N/A","N/A","N/A"
"5456012904","09-117384","GLASSELL PARK COMMUNITY HSG/AKA RIO VISTA APT","3000 N VERDUGO ROAD 1-50 CA 90065","1","GLASSELL PARK","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","2,640,475.00","26,061,533.00","0.00","28,702,008.00","http://hcidapp.lacity.org/mpphotos/09-117384/Photo/Website/glassellpark1912_007-.png","260","Abode Communities / fka LA COMMUNITY DESIGN CENTER,","ABODE COMMUNITIES (FORMERLY LACDC)","(213) 225-2756"
"5075001016","30171","PICO NEW HAMPSHIRE APTS.","1308 S NEW HAMPSHIRE AVE 1-30 CA 90006","1","HARVARD HEIGHTS","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","LARGE FAMILY / WAIVER REQUIRED","1,942,833.00","4,694,005.00","840,000.00","7,476,838.00","http://hcidapp.lacity.org/mpphotos/030171/Photo/Website/CD%201%20-%20Pico%20New%20Hampshire.jpg","58","1010 DEVELOPMENT CORPORATION","1010 DEVELOPMENT","(213) 749-0214"
"5153005026","07-117237","QUEEN APARTMENTS (SITE 5)","516 S UNION AVE CA 90017","5","WESTLAKE","1","READY FOR OCCUPANCY","REHAB","FAMILY","0.00","10,271,751.00","7,300,000.00","17,571,751.00","http://hcidapp.lacity.org/mpphotos/07-117237/Photo/Website%20Site5/Queens%20Apt(site5)%20516%20Union.png",,"N/A","THE JOHN STEWART COMPANY","(213) 833-1860"
"5075007010","80053","PROFESSIONAL HSG. & DEV. APTS. (PH & D) (SITE 2)","1400 S KENMORE AVE CA 90006","2","HARVARD HEIGHTS","1","READY FOR OCCUPANCY","REHAB","FAMILY","4,575,000.00","10,250,907.00","0.00","14,825,907.00","http://hcidapp.lacity.org/mpphotos/080053/Photo/Website%20Site2/PH&D%201745%20W%2020th.jpg","45","Gubb and Barshay","LITTLE TOKYO SERVICE CENTER","(213) 434-1645"
"5445006907","14-121136","TAYLOR YARD SENIOR HOUSING","2590 E ARVIA ST CA 90065","1","ATWATER VILLAGE","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","SENIORS","3,728,729.00","30,181,206.00","0.00","33,909,935.00","http://hcidapp.lacity.org/mpphotos/14-121136/Photo/Website/Taylor%20Yard%20Senior.png","311","McCormack Baron Salazar, Inc.","MCCORMACK BARON RAGAN MANAGEMENT SERVICES, INC.","(213) 236-2694"
"5160010029","20285","COURT STREET APTS.","1301 W COURT ST CA 90026","1","TEMPLE-BEAUDRY","1","READY FOR OCCUPANCY","NEW CONSTRUCTION","FAMILY","2,143,000.00","4,691,845.00","0.00","6,834,845.00","http://hcidapp.lacity.org/mpphotos/020285/Photo/Website/CD%201%20-%20Court%20Street%20Apts..JPG","40","COURT STREET APARTMENTS, L.P.","COMMUNITY HOUSING MANAGEMENT SERVICES","N/A"
